Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING MAY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
611,UNITECH HITECH STRUCTURES LTD,Singapore,BSREP INDIA OFFICE HOLDINGS V PTE LTD,NEW DELHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,262.29,4.11,
612,JASPER INFOTECH PVT LTD,Singapore,Starfish I Pte Ltd.,NEW DELHI,Other information technology and computer service activities n.e.c,"36,128.60",566.28,
613,YUM RESTAURANTS (INDIA) PVT LTD,Singapore,YUM Asia Franchise PTE Limited,NEW DELHI,Restaurants without bars,372.00,5.83,
614,M/S POLEPALLY SOLAR PARKS PRIVATE LIMITE,Singapore,First Solar FE Holdings Pte Ltd,HYDERABAD,Electric power generation using solar energy,150.00,2.35,
615,GLOBALSIGN.IN (INDIA) PVT LTD,Singapore,GlobalSign.In Pte. Ltd,HYDERABAD,Providing software support and maintenance to the clients,0.99,0.02,
616,POMELO INFRA PROJECTS PRIVATE LIMITED,Singapore,Chandler Infrastructure Pte ltd,HYDERABAD,Other construction projects n.e.c.,72.89,1.14,
617,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Singapore,MANK SHARMA,MUMBAI,Computer consultancy and computer facilities management activities,0.34,0.01,
618,AFFLE (INDIA) PVT LTD,Singapore,Affle Holdings Pte Ltd,MUMBAI,Advertising,12.21,0.19,
619,AON CONSULTING PVT LTD,Singapore,Aon Singapore Center for Innovation Sstr,MUMBAI,Computer consultancy and computer facilities management activities,"5,368.00",84.14,
620,MCO INTERACTIVE PVT LTD,Singapore,accely pte ltd,MUMBAI,Other information technology and computer service activities n.e.c,2.84,0.04,
621,PRACTO TECHNOLOGIES PRIVATE LIMITED,Singapore,PRACTO PTE LTD,BANGALORE,Computer consultancy and computer facilities management activities,22.44,0.35,
622,WORLD GOLD COUNCIL (INDIA) PVTLTD,Singapore,WGC (FAR EAST ),MUMBAI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",61.50,0.96,
623,FASSCO INTERNATIONAL INDIA PVT LTD,Singapore,FOOD AND ALLIED SUPPORT SERVICES COR PTE,MUMBAI,Activities of food service contractors (e.g. for transportation companies),6.73,0.11,
624,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Singapore,BHAT SURESH,MUMBAI,Computer consultancy and computer facilities management activities,0.01,0.00,
625,BUDHRANI CONSTRUCTIONS PL,Singapore,HARICHANDRA N BUDHRANI,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,1.00,0.02,
626,ANI TECHNOLOGIES PVT LTD,Singapore,Internet Fund III Pte Ltd,MUMBAI,Other information technology and computer service activities n.e.c,"2,520.32",39.50,
627,WONDERPOINT SOFTWARE PVT LTD,Singapore,RTW GLOBAL PTE. LTD.,MUMBAI,"Other data processing, hosting and related activities n.e.c.",2.17,0.03,
628,AFFLE (INDIA) PVT LTD,Singapore,Affle Appstudioz Pte Ltd,MUMBAI,Advertising,5.43,0.09,
629,AFFLE (INDIA) PVT LTD,Singapore,Affle Holdings Pte Ltd,MUMBAI,Advertising,22.57,0.35,
630,AFFLE (INDIA) PVT LTD,Singapore,Affle Holdings Pte. Ltd,MUMBAI,Advertising,73.57,1.15,
631,AFFLE (INDIA) PVT LTD,Singapore,Affle Holdings Pte. Ltd,MUMBAI,Advertising,5.55,0.09,
632,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Singapore,ROHIT GANDHI,MUMBAI,Computer consultancy and computer facilities management activities,2.45,0.04,
633,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Singapore,ROHIT GANDHI,MUMBAI,Computer consultancy and computer facilities management activities,1.97,0.03,
634,ANGELS HEALTH PVT LTD,Singapore,Ojas Holdings Pte. Ltd,MUMBAI,Medical practice activities,10.96,0.17,
635,TATA SKY LTD,Singapore,omega fii investment pte ltd,MUMBAI,Other satellite telecommunications activities,"2,294.50",35.96,
636,TOMTOM INDIA P L (TELE ATLAS KALYANI IND,Singapore,"TomTom Asia-Pacific Pte. Ltd.,",MUMBAI,"Publishing of atlases, maps and charts",187.31,2.94,
637,EMORI INDIA TRADING PVT LTD,Singapore,EMORI ASIA HOLDINGS PTE LTD.,MUMBAI,"Wholesale of industrial chemicals,",2.80,0.04,
638,VISA INFRASTRUCTURE LIMITED,Singapore,VIVEK AGARWAL,KOLKATA,"Other professional, scientific and technical activities n.e.c.",74.96,1.17,
639,KVR INDUSTRIAL PARK ( KVR METALS & ALLOY,Singapore,ILP II VENTURES I PTE LTD,MUMBAI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",99.99,1.57,
640,BUDHRANI CONSTRUCTIONS PL,Singapore,HARICHANDRA N BUDHRANI,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,30.50,0.48,
641,BPW TRAILER SYSTEMS INDIA PVT LTD,Singapore,BPW ASIA PTE LTD,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",6.14,0.10,
642,AGILITY LOGISTICS PVT LTD,Singapore,Agility Logistics Holdings Pte. Ltd,MUMBAI,Cargo handling incidental to land transport,135.75,2.13,
643,AGILITY LOGISTICS PVT LTD,Singapore,Agility Logistics Holdings Pte. Ltd,MUMBAI,Cargo handling incidental to water transport,101.89,1.60,
644,AGILITY LOGISTICS PVT LTD,Singapore,Agility Logistics Holdings Pte. Ltd,MUMBAI,Cargo handling incidental to air transport,104.10,1.63,
645,AGILITY LOGISTICS PVT LTD,Singapore,Agility Logistics Holdings Pte. Ltd,MUMBAI,Cargo handling incidental to water transport,92.66,1.45,
646,ANI TECHNOLOGIES PVT LTD,Singapore,SIMI Pacific Pte.Ltd,MUMBAI,Other information technology and computer service activities n.e.c,"5,670.72",88.88,
,,,,,,,,
,,,,,,,,
,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,JUVALIA SALES PVT LTD,Singapore,JUVALIA HOLDINGS PTE LIMITED,NEW DELHI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",119.83,1.88,
,RELEVANT E-SOLUTIONS PRIVATE LIMITED,Singapore,Internet Fund III PTE. Ltd.,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",6.16,0.10,
,IORA INTERNATIONAL (INDIA) PRIVATE LIMIT,Singapore,IORA INTERNATIONAL PTE LTD,NEW DELHI,Other non-specialised wholesale trade n.e.c.,1.00,0.02,
,COMMEASURE SOLUTIONS INDIA PRIVATE LIMIT,Singapore,M/s Commeasure PTE Ltd,NEW DELHI,"Manufacture of desktop computers, laptop computers, hand-held computers (e.g. PDA), mainframe computers",3.64,0.06,
,INTERIORS AEROSERVICES PVT LTD,Singapore,Interiors Aeroservices Pte. Ltd.,NEW DELHI,Activities of interior decorators,0.36,0.01,
,GREENHECK INDIA PVT LTD,Singapore,GREENHECK ASIA PACIFIC PTE LTD,NEW DELHI,Manufacture of other electrical equipment,332.64,5.21,
,THE AMERICAN SWAN LIFESTYLE COMPANY PRIV,Singapore,American Swan Asia Pacific PTE. LTD.,NEW DELHI,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry,",99.09,1.55,
,GOLDEN AGRI RESOURCES IN(EAR SINARMAAS A,Singapore,Golden Agri International India Holding,NEW DELHI,Manufacture of vegetable oils and fats excluding corn oil,171.70,2.69,
,BP ERGO LIMITED,Singapore,HNI Singapore Pvt Ltd,MUMBAI,Manufacture of furniture made of wood,158.03,2.48,
,BP ERGO LIMITED,Singapore,HNI Singapore Pvt Ltd,MUMBAI,Manufacture of furniture made of wood,111.80,1.75,
,TOMTOM INDIA P L (TELE ATLAS KALYANI IND,Singapore,Tele Atlas Asia-Pacific Pte Ltd,MUMBAI,"Publishing of atlases, maps and charts",368.39,5.77,
,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Singapore,BHATSURESH,MUMBAI,Computer consultancy and computer facilities management activities,1.17,0.02,
,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Singapore,BHAT SURESH,MUMBAI,Computer consultancy and computer facilities management activities,1.16,0.02,
,BURGER KING INDIA PVT.LTD,Singapore,QSR Asia PTE Ltd,MUMBAI,Restaurants without bars,525.00,8.23,
,DYTECH POWER SOLUTIONS INDIA PVT LTD,Singapore,DYTECH ENERGY PTE LTD,BANGALORE,Manufacture of other electrical equipment,4.91,0.08,
,SNAPBIZZ CLOUDTECH PRIVATE LIMITED,Singapore,SNAPBIZZ CLOUDTECH PTE LIMITED,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",18.09,0.28,
,UNITECH HITECH STRUCTURES LTD,Singapore,bsrep india office holdings v pte ltd,NEW DELHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,49.78,0.78,
,J S OVERSEAS PVT LTD,Singapore,Naga Oils and Fats Pte Ltd.,NEW DELHI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",104.82,1.64,
,KEF INFRASTRUCTURE INDIA PRIVATE LIMITED,Singapore,KEF INFRASTRUCTURE PTE LTD,BANGALORE,Construction of buildings carried out on own-account basis or on a fee or contract basis,62.57,0.98,
,WEHIVE TECHNOLOGIES PRIVATE LIMITED,Singapore,FLIPKART LOGISTICS PRIVATE LIMITED,BANGALORE,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",0.00,0.00,
,VASWANI WHITEFIELD PROJECTS PRIVATE LIMI,Singapore,IPFII SINGAPORE 2 PTE LTD,BANGALORE,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.50,0.01,
,VASWANI WHITEFIELD PROJECTS PRIVATE LIMI,Singapore,IPFII SINGAPORE 2 PTE LTD,BANGALORE,Construction of buildings carried out on own-account basis or on a fee or contract basis,324.50,5.09,
,ESSENTIAL ENERGY (OPERATIONS) INDIA PVT,Singapore,INTELLIGENT ENERGY HOLDINGS (SINGAPORE),BANGALORE,Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or,0.10,0.00,
,ESSENTIAL ENERGY (OPERATIONS) INDIA PVT,Singapore,INTELLIGENT ENERGY HOLDINGS (SINGAPORE),BANGALORE,Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or,200.00,3.13,
,CUTECH SOLUTIONS INDIA PVT LTD,Singapore,Cutech Solutions and Services Pte Ltd,CHENNAI,Data processing activities including report writing,0.49,0.01,
,CUTECH SOLUTIONS INDIA PVT LTD,Singapore,Govindarasan Mathivanan,CHENNAI,Data processing activities including report writing,0.26,0.00,
,CUTECH SOLUTIONS INDIA PVT LTD,Singapore,Nachimuthu Arunachalam,CHENNAI,Data processing activities including report writing,0.26,0.00,
,ARROWW AGRI PRIVATE LIMITED,Singapore,Kunasunderi Muthukkumar,CHENNAI,Manufacture of prepared meals and dishes,0.21,0.00,
,WEHIVE TECHNOLOGIES PRIVATE LIMITED,Singapore,FLIPKART LOGISTICS PRIVATE LIMITED,BANGALORE,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",32.00,0.50,
,NOBEL HYGIENE LTD.,Singapore,VIVID INVESTMENT HOLDINGS PVT LTD,PANAJI,Manufacture of other textiles/textile products n.e.c.,149.59,2.34,
,NOBEL HYGIENE LTD.,Singapore,CRYSTAL INVESTMENT HOLDINGS PVT LTD,PANAJI,Manufacture of other textiles/textile products n.e.c.,158.39,2.48,
,PRACTO TECHNOLOGIES PRIVATE LIMITED,Singapore,PRACTO PTE. LTD,BANGALORE,Computer consultancy and computer facilities management activities,61.63,0.97,
,ENERGON GJ WIND POWER PRIVATE LIMITED,Singapore,ENERGON RENEWABLES PTE LTD,BANGALORE,Electric power generation using other non conventional sources,2.00,0.03,
,ENERGON GJ WIND POWER PRIVATE LIMITED,Singapore,ENERGON RENEWABLES PTE LTD,BANGALORE,Electric power generation using other non conventional sources,8.00,0.13,
,CIPSA TEC INDIA PRIVATE LIMITED,Singapore,CIRCUIT MAKERS (S) PTE LTD,BANGALORE,"Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; manufacture",185.97,2.91,
,PAYFRONT TECHNOLOGIES INDIA PRIVATE LIMI,Singapore,PAYFRONT TECHNOLOGIES PTE LTD,BANGALORE,Human resources provision and management of human resources functions,"1,134.90",17.79,
,PRACTO TECHNOLOGIES PRIVATE LIMITED,Singapore,PRACTO PTE LTD,BANGALORE,Computer consultancy and computer facilities management activities,23.56,0.37,
,PRACTO TECHNOLOGIES PRIVATE LIMITED,Singapore,PRACTO PTE LTD,BANGALORE,Computer consultancy and computer facilities management activities,10.76,0.17,
,PRACTO TECHNOLOGIES PRIVATE LIMITED,Singapore,PRACTO PTE LTD,BANGALORE,Computer consultancy and computer facilities management activities,19.00,0.30,
,FITNESS FIRST INDIA PVT LTD,Singapore,Fitness First Singapore PTE. LTD.,NEW DELHI,Operation of sports faci,74.00,1.16,
,SHENG LONG BIO-TECH(INDIA) PRIVATE LIMIT,Singapore,LANKING NEMO (SG) PTE LTD,CHENNAI,Operation of fish hatcheries (marine),1.00,0.02,
,ATHER ENERGY PVT LTD,Singapore,INTERNET FUND III PTE LTD,CHENNAI,Manufacture of motor vehicles n.e.c.,1.01,0.02,
,IMMA WEB PRIVATE LIMITED,Singapore,Internet Fund III Pte Ltd,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",154.77,2.43,
,UNITECH DEVELOPERS & PROJECTS LTD,Singapore,BSREP INDIA OFFICE HOLDINGS III PTE LTD,NEW DELHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,709.42,11.12,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
691,ASICS INDIA PVT LTD,Singapore,Asics Asia Pte Ltd,NEW DELHI,Manufacture of other footwear n.e.c.,268.80,4.21,
692,SIMHA INVESTMENTS AND SERVICES PRIVATE L,Singapore,FALCON ADVISORS PTE LTD,CHENNAI,Management consultancy activities,3.25,0.05,
693,GLOBAL UNITED MEDIA COMPANY PRIVATE LIMI,Singapore,Global united Holdings Pte Ltd,CHENNAI,Video production,12.33,0.19,
694,FIRST ENGINEERING PLASTICS INDIA PVT LTD,Singapore,First Engineering Limited,CHENNAI,Manufacture of other plastics products n.e.c.,33.49,0.52,
695,PETTERSSONS INDIA PRIVATE LTD,Singapore,PETTERSSONS METAL SINGAPORE PTE LTD,CHENNAI,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",18.27,0.29,
696,ATHER ENERGY PVT LTD,Singapore,INTERNET FUND III PTE LTD,CHENNAI,Manufacture of motor vehicles n.e.c.,752.36,11.79,
697,KEF INFRASTRUCTURE INDIA PRIVATE LIMITED,Singapore,KEF HEALTHCARE SERVICES PTE LTD,BANGALORE,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.94,0.01,
698,NCC POWER PROJECTS LIMITED,Singapore,Sembcorp Utilities Pte Ltd,HYDERABAD,Electric power generation by coal based thermal power plants,"1,950.00",30.56,
699,INTERNATIONAL ONCOLOGY SERVICES PVT LTD,Singapore,AJAY RASTOGI,NEW DELHI,Hospital activities,25.00,0.39,
700,ADA NEWS IN SHORTS PRIVATE LIMITED,Singapore,INTERNET FUND III PTE LIMITED,NEW DELHI,Publishing of operating business and other applications,179.08,2.81,
701,YUM RESTAURANTS (INDIA) PVT LTD,Singapore,Yum Asia Franchise Pte. Ltd.,NEW DELHI,Restaurants without bars,214.46,3.36,
702,YUM RESTAURANTS (INDIA) PVT LTD,Singapore,Yum Asia Franchise Pte. Ltd.,NEW DELHI,Restaurants without bars,595.25,9.33,
703,NOODLE FOODS INDIA PVT LTD,Singapore,LIONCITY FOODS PTE LTD,CHENNAI,Restaurants without bars,22.42,0.35,
704,SANYO DENKI INDIA PRIVATE LIMITED,Singapore,SANYO DENKI SINGAPORE PTE LTD,CHENNAI,"Manufacture of electric power distribution transformers, arc- welding transformers, fluorescent ballasts,",0.00,0.00,
705,SHENG LONG BIO-TECH(INDIA) PRIVATE LIMIT,Singapore,LANKING PTE LTD,CHENNAI,Operation of fish hatcheries (marine),0.05,0.00,
706,SHENG LONG BIO-TECH(INDIA) PRIVATE LIMIT,Singapore,LANKING PTE LTD,CHENNAI,Operation of fish hatcheries (marine),0.00,0.00,
707,SHENG LONG BIO-TECH(INDIA) PRIVATE LIMIT,Singapore,LANKING NEMO SG PTE LTD,CHENNAI,Operation of fish hatcheries (marine),49.17,0.77,
708,CARAVEL RESOURCES(INDIA) PVT LTD,Singapore,Caravel Resources PTE LTD,NEW DELHI,Wholesale of metals and metal ores,24.90,0.39,
709,ORANGE MAMATKHEDA WIND PRIVATE LIMITED,Singapore,Orange Renewable Holding Pte. Ltd.,NEW DELHI,Electric power generation by hydroelectric power plants,20.06,0.31,
710,JASPER INFOTECH PVT LTD,Singapore,eBAY SINGAPORE SERVICES,NEW DELHI,Other information technology and computer service activities n.e.c,259.97,4.07,
711,ONE 97 COMMUNICATIONS LIMITED,Singapore,ALIPAY SINGAPORE E-COMMERCE PTE LTD,NEW DELHI,Other information service activities n.e.c.,"8,540.10",133.86,
712,CJHG RESTAURANT (G.D) INDIA PRIVATE LIMI,Singapore,CJHG HOLDINGS (S) PTE LTD,NEW DELHI,Bars and Restaurants with bars,3.95,0.06,
713,ORANGE MAMATKHEDA WIND PRIVATE LIMITED,Singapore,Orange Renewable Holding Pte Ltd,NEW DELHI,Electric power generation by hydroelectric power plants,0.00,0.00,
714,MCCORMICK SUPPORT SERVICES PRIVATE LIMIT,Singapore,McCormick Ingredients SouthEast Asia Pte,NEW DELHI,Web-page designing,6.50,0.10,
715,IMMA WEB PRIVATE LIMITED,Singapore,Internet Fund III Pte Ltd,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",0.23,0.00,
716,MONTAPLAST INDIA PVT LTD,Singapore,Aldebaran Investment Asia Pacific Pte Lt,MUMBAI,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags, doors,",92.50,1.45,
717,JASPER INFOTECH PVT LTD,Singapore,EBAY SINGAPORE SERVICES,NEW DELHI,Other information technology and computer service activities n.e.c,"5,517.89",86.49,
718,JASPER INFOTECH PVT LTD,Singapore,EBAY SINGAPORE SERVICES PVT LTD,NEW DELHI,Other information technology and computer service activities n.e.c,28.74,0.45,
719,MERCATOR PETROLEUM LTD,Singapore,Mercator Energy PTE Ltd.,MUMBAI,On shore extraction of crude petroleum,73.50,1.15,
720,IBIBO GROUP PRIVATE LIMITED,Singapore,MIH INDIA ECOMMERCE PTE LIMITED,NEW DELHI,Travel agency activities,683.51,10.71,
721,IBIBO GROUP PRIVATE LIMITED,Singapore,MIH INDIA ECOMMERCE PTE LTD,NEW DELHI,Travel agency activities,324.63,5.09,
722,IBIBO GROUP PRIVATE LIMITED,Singapore,MIH INDIA ECOMMERCE PTE LIMITED,NEW DELHI,Other reservation service and related activities,430.64,6.75,
723,UL INDIA PRIVATE LIMITED,Singapore,UL INTERNATIONAL SINGAPORE PTE LTD,BANGALORE,Other information technology and computer service activities n.e.c,30.05,0.47,
724,KAWASAKI MK INDUSTRIES I P LTD,Singapore,MK ME(S)  PTE LTD,BANGALORE,Casting of non-ferrous metals,38.39,0.60,
725,MYNTRA DESIGNS PRIVATE LIMITED,Singapore,FK MYNTRA HOLDINGS PVT LTD,BANGALORE,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry,","3,139.75",49.21,
726,ZUKEN INDIA PRIVATE LIMITED,Singapore,ZUKEN SINGAPORE PTE LTD,BANGALORE,Providing software support and maintenance to the clients,23.52,0.37,
727,TE CONNECTIVITY INDIA PRIVATE LIMITED,Singapore,TYCO ELECTRONICS SINGAPORE PTE LTD,BANGALORE,Manufacture of other electronic components n.e.c,0.02,0.00,
728,TE CONNECTIVITY INDIA PRIVATE LIMITED,Singapore,TYCO ELECTRONICS SINGAPORE PTE LIMITED,BANGALORE,Manufacture of other electronic components n.e.c,282.75,4.43,
729,HEXAGON GLOBAL IT SERVICES PRIVATE LIMIT,Singapore,VEENA RANGARAJAN,BANGALORE,Providing software support and maintenance to the clients,0.67,0.01,
730,EXPRESS FABRIC CLEANERS PRIVATE LIMITED,Singapore,RB INVESTMENTS PTE LTD,BANGALORE,Washing and (dry-) cleaning of textile and fur products,10.40,0.16,
731,JUNOTELE SOLUTIONS PRIVATE LIMITED,Singapore,JUNOTELE PTE LIMITED,BANGALORE,Other telecommunications activities,6.10,0.10,
732,MILAAP SOCIAL VENTURES INDIA PVT LTD,Singapore,MILAAP SOCIAL VENTURES PTE LTD,BANGALORE,Providing software support and maintenance to the clients,11.83,0.19,
733,INTERNATIONAL ONCOLOGY SERVICES PVT LTD,Singapore,RAHUL JAIN,NEW DELHI,Hospital activities,5.00,0.08,
734,NOVOSOL MOBILE MAGIC P.LTD,Singapore,Novosol Pte Ltd,NEW DELHI,Other information technology and computer service activities n.e.c,1.00,0.02,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
735,CHEER PIZZA INDIA PRIVATE LIMITED,Slovakia,Cheer Amusement Europe Ltd.,NEW DELHI,Retail sale of other food products n.e.c.,3.77,0.06,
736,SOMA ISOLUX NHONE TOLLWAY PVT.LTD.,Spain,ISOLUX CORSAN CONCESIONES S.A,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",90.40,1.42,
737,SOMA ISOLUX NHONE TOLLWAY PVT.LTD.,Spain,CORSAN COVIAM CONSTRUCCION S.A,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",90.40,1.42,
738,SOMA ISOLUX NHONE TOLLWAY PVT.LTD.,Spain,ISOLUX CORSAN NH 1 CYPRUS LTD,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",370.64,5.81,
739,SAN JOSE INDIA INFRASTRUCTURE AND CONSTR,Spain,CONSTRUCTORA SAN JOSE S.A.,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",3.05,0.05,
740,TUSSOR MACHINE TOOLS  INDIA PVT. LTD.,Spain,Tussor S.L.,CHENNAI,"Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc",19.90,0.31,
741,APRAJIT INFRASTRUCTURE PVT LTD,Spain,Encofrados J Alsina S.A,MUMBAI,Wholesale of construction and civil engineering machinery and equipment,1.40,0.02,
742,AJE INDIA PVT LTD,Spain,KINLEST INVESTMENT,MUMBAI,Manufacture of other non-alcoholic beverages n.e.c.,12.66,0.20,
743,M/S KALYANI GERADU STEELS LIMITED,Spain,Gerdau Holdings Europa SA Y CIA SRC,HYDERABAD,Manufacture of hot-rolled and cold-rolled products of steel,"1,470.72",23.05,
744,ABEINSA BUSINESS DEVELOPMENT (ABENER ENG,Spain,Abeinsa Business Development S.A,MUMBAI,Other civil engineering projects n.e.c.,25.00,0.39,
745,AJE INDIA PVT LTD,Spain,Kinlest Investments,MUMBAI,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder",43.37,0.68,
746,EUROCAO FOODS INDIA PL,Spain,HOLD FOODS S.L.,MUMBAI,Manufacture of bread,2.82,0.04,
747,ZANINI POLYPLASTICS INDUSTRIES PVT LTD,Spain,Zanini Auto Group S.A.,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",0.05,0.00,
748,ABEINSA ENGINEEERING (ABENER GHENOVA ENG,Spain,Abeinsa Engineering SL,MUMBAI,Installation of industrial machinery and equipment,10.00,0.16,
749,RSB DISTILLERIES (INDIA) PRIVATE LIMITED,Sri Lanka,ROCKLAND DISTILLERIES (PRIVATE) LIMITED,BANGALORE,Wholesale of intoxicants like wines and liquors,1.89,0.03,
750,STELLAR PALSTICS INDIA P LTD,Sri Lanka,STAR PACK INVESTMENTS P LTD,CHENNAI,Manufacture of other plastics products n.e.c.,6.22,0.10,
751,STELLAR PALSTICS INDIA P LTD,Sri Lanka,STAR PACK INVESTMENTS P LTD,CHENNAI,Manufacture of other plastics products n.e.c.,48.72,0.76,
752,RSB DISTILLERIES (INDIA) PRIVATE LIMITED,Sri Lanka,ROCKLAND DISTILLERIES (PRIVATE) LIMITED,BANGALORE,Wholesale of intoxicants like wines and liquors,4.21,0.07,
753,STELLAR PALSTICS INDIA P LTD,Sri Lanka,AKBAR BROTHERS PRIVATE LTD.,CHENNAI,Manufacture of other plastics products n.e.c.,80.67,1.26,
754,STELLAR PALSTICS INDIA P LTD,Sri Lanka,V R INVESTMENTS P LTD,CHENNAI,Manufacture of other plastics products n.e.c.,27.99,0.44,
755,SPX FLOW TECHNOLOGY (INDIA) PRIVATE LIMI,Sweden,SPX FLOW TECHNOLOGY SWEDEN AB,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",313.02,4.91,
756,OSTBERG INDIA PRIVATE LIMITED,Sweden,OSTBERG GROUP AB,NEW DELHI,Manufacture of electric fans (except exhaust fans),22.42,0.35,
757,SKF TECHNOLOGIES (INDIA) PVT LTD,Sweden,AB SKF,BANGALORE,Manufacture of other rubber products n.e.c.,300.00,4.70,
758,AQ MECHANICAL &ELECTRICAL MFG INDIA LTD,Sweden,AQ GROUP AB SWEDEN,MUMBAI,Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or,15.56,0.24,
759,STARRAG INDIA PRIVATE LIMITED,Switzerland,"STARRAG GROUP HOLDING
AG(formerly as STA",BANGALORE,"Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc",33.27,0.52,
760,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Switzerland,GOKUL VARMA,MUMBAI,Computer consultancy and computer facilities management activities,0.58,0.01,
761,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Switzerland,GOKUL VARMA,MUMBAI,Computer consultancy and computer facilities management activities,0.28,0.00,
762,FOREVER ZOE HANDICRAFT PVT LTD,Switzerland,ANNEROSA MAURER,NEW DELHI,Manufacture of other containers of paper and paperboard n.e.c.,0.09,0.00,
763,NANOCARE HEALTH SERVICES PVT LTD,Switzerland,"Hult International Business School, AG",HYDERABAD,Medical practice activities,15.38,0.24,
764,CONTRINEX  AUTOMATION PVT LTD,Switzerland,CONTRINEX AG,MUMBAI,Wholesale of other electronic equipments and parts thereof,3.19,0.05,
765,ADVANCED BIONICS INDIA PVT LTD,Switzerland,ADVANCED BIONICS AG,BANGALORE,Other non-specialised wholesale trade n.e.c.,129.97,2.04,
766,SUISSETECHPARTNERS INDIA PRIVATE LIMTIED,Switzerland,SUISSETECHPARTNERS S.A,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",1.00,0.02,
767,VALE INDIA PVT LTD,Switzerland,VALE INTERNATIONAL SA,NEW DELHI,Support activities for other mining and quarrying,13.94,0.22,
768,VALE INDIA PVT LTD,Switzerland,VALE INTERNATIONAL SA,NEW DELHI,Support activities for other mining and quarrying,5.11,0.08,
769,BREITLING INDIA PVT LTD,Switzerland,Breitling SA,MUMBAI,Retail sale of watches and clocks,9.30,0.15,
770,CLYP VIDEO PRIVATE LIMITED,Switzerland,1/PATRICK KAISER,BANGALORE,Motion picture distribution,0.97,0.02,
771,CLYP VIDEO PRIVATE LIMITED,Switzerland,FRANCOIS COMMEND,BANGALORE,Motion picture distribution,0.39,0.01,
