Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS
UNDER RBI’s AUTOMATIC ROUTE
"194
6",MIL POWER MAGNETICS INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Manufacture of other
electronic components n.e.c",ENERCON TECHNOLOGIES LTD,Israel,1.84,0.03,"Received in
the Company",
"194
7",Milklane Dairy Services Private Limited,MAHARASHT RA,Mumbai,"Manufacture of pasteurised milk whether or not in bottles/ polythene
packs etc. (plain or flavoured)",MILKLANE HOLDING PTE LTD.,Singapore,72.03,0.98,Received in the Company,
"194
8",Milklane Dairy Services Private Limited,MAHARASHT RA,Mumbai,Manufacture of pasteurised milk whether or not in bottles/ polythene packs etc. (plain or flavoured),Milklane Holding PTE. LTD.,Singapore,50.82,0.69,Received in the Company,
"194
9",MILLENNIA LOOMS PRIVATE LIMITED,UTTAR PRADESH,Varanasi,Manufacture of other floor coverings n.e.c.,KRC Looms LLC,U.S.A,8.48,0.12,Received in the Company,
"195
0",MIMYK MEDICAL SIMULATIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",92 Angels LLC,U.S.A,1.99,0.03,Received in the Company,
"195
1",MINDPEERS INDIA PRIVATE LIMITED,DELHI,South Delhi,"Other human health activities n.e.c. (including independent
ambulance activities)",ALOK PATHAK,Singapore,1.13,0.02,Received in the Company,
"195
2",MINDPEERS INDIA PRIVATE LIMITED,DELHI,South Delhi,"Other human health activities n.e.c. (including independent ambulance
activities)",AURELIEN PICHON,U.S.A,1.88,0.03,Received in the Company,
"195
3",MINDPEERS INDIA PRIVATE LIMITED,DELHI,South Delhi,"Other human health activities n.e.c. (including independent
ambulance activities)",GOPINATH LATPATE,U.S.A,5.00,0.07,Received in the Company,
"195
4",MINDSET EXPERIENCE INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",Mindset Consulting LLC,U.S.A,0.10,0.00,Received in the Company,
"195
5",MINOVA MINETEK PVT LTD,TELANGANA,Hyderabad,"Manufacture of organic and
inorganic chemical compounds n.e.c.",MINOVA INTERNATIONAL LTD,United Kingdom,25.00,0.34,Received in the Company,
"195
6",MINTIFI PRIVATE LIMITED,MAHARASHT RA,Mumbai,Data processing activities including report writing,Growth Catalyst Partners LLC,Mauritius,231.37,3.11,Received in the Company,
"195
7",MINTIFI PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Data processing
activities including report writing",International Finance Corporation,U.S.A,206.63,2.77,"Received in
the Company",
"195
8",Mirae Asset Financial Services (India) Private Limited,MAHARASHT RA,Mumbai,"Other financial service activities, except insurance and pension funding
activities, n.e.c.",Mirae Asset Capital Co. Ltd,South Korea,570.00,7.78,Received in the Company,
"195
9",MITSUBOSHI BELTING INDIA PRIVATE LIMITED,MAHARASHT RA,Thane,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes
etc.",STARS TECHNOLOGIES INDUSTRIAL LTD,Thailand,600.00,8.19,Received in the Company,
"196
0",MITSUBOSHI BELTING INDIA PRIVATE LIMITED,MAHARASHT RA,Thane,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses
and profile -shapes etc.",MITSUBOSHI OVERSEAS HEADQUARTERS PRIVATE LIMITED (PTE LTD),Singapore,600.00,8.19,Received in the Company,
"196
1",ML SPRINGS INDIA PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of other general purpose machinery n.e.c. (fans intended for industrial applications,exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines othe",MOLLIFICIO LEGNANESE SPA,Italy,4.50,0.06,GREENFIE LD,
"196
2",M-MONKS DIGITAL MEDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,S4 CAPITAL APAC HOLDINGS LTD,United Kingdom,17.24,0.23,Received in the Company,
"196
3",M-MONKS DIGITAL MEDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",S4 CAPITAL UK HOLDINGS LIMITED,United Kingdom,0.17,0.00,Received in the Company,
"196
4",MOBILIZAR TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other games and toys n.e.c.,JULIA FETHERSTON DHAR,U.S.A,10.84,0.15,Received in the Company,
"196
5",MOBILIZAR TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other games and toys n.e.c.,IDG Ventures India Fund III LLC,Mauritius,22.00,0.30,Received in the Company,
"196
6",MOBILIZAR TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other games and toys n.e.c.,Ganesh R Pai,U.S.A,10.84,0.15,Received in the Company,
"196
7",MOBILIZAR TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other games and toys n.e.c.,JOHN T COLVIN,U.S.A,28.90,0.39,Received in the Company,
"196
8",MOBILIZAR TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of other
games and toys n.e.c.",ANTONY T.F.LUNDY,Canada,12.64,0.17,"Received in
the Company",
"196
9",MOBIRU INDIA PRIVATE LIMITED,RAJASTHAN,Alwar,"Other information technology and computer service
activities n.e.c",K. K. Zenro,Japan,0.49,0.01,Received in the Company,
"197
0",Mobiusworks Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",Smartbiz Investments and Consulting LLC,U.S.A,1.35,0.02,Received in the Company,
"197
1",Mobiusworks Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and
technical activities n.e.c.",Sonie John Thomas,U.S.A,0.75,0.01,Received in the Company,
"197
2",Mobiusworks Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and
technical activities n.e.c.",Kibo Investments LLP,U.S.A,1.72,0.02,Received in the Company,
"197
3",MODERE INDIA PRIVATE LIMITED,DELHI,South Delhi,"Wholesale of toiletry, perfumery and cosmetics",MODERE BV,Netherland,23.81,0.32,Received in the Company,
"197
4",MODERE INDIA PRIVATE LIMITED,DELHI,South Delhi,"Wholesale of toiletry, perfumery and cosmetics",MODERE KOREA PARENT BV,Netherland,0.23,0.00,Received in the Company,
"197
5",Moeving Urban Technologies Pvt Ltd,DELHI,East Delhi,Activities of shipping cargo agents,Christoph Wolff,Germany,1.25,0.02,Received in the Company,
"197
6",MOGLI LABS (INDIA) PRIVATE LIMITED,DELHI,South Delhi,"Activities of other commission agents
n.e.c. (including commission agents working in emerging
areas for wholesale trade",Mogli Labs Private Limited,Singapore,295.96,4.04,Received in the Company,
197,Mohalla Tech Private Limited,KARNATAKA,Bengaluru,Operation of other,Twitter Ventures LLC,U.S.A,"1,439.97",19.65,Received in,
7,,,,"websites that act as portals to the Internet, such as media sites providing periodically updated
content",,,,,the Company,
"197
8",Mohalla Tech Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",Twitter Ventures LLC,U.S.A,719.31,9.82,Received in the Company,
"197
9",Mohalla Tech Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content","LSVP-SCF1, LLC",U.S.A,"3,354.17",45.78,Received in the Company,
"198
0",Mohalla Tech Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",Internet Fund VII Pte Ltd,Singapore,"4,465.86",60.95,Received in the Company,
"198
1",Mohalla Tech Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing
periodically updated content","Lightspeed Opportunity Fund, L.P.",Cayman Islands,"1,441.49",19.60,Received in the Company,
"198
2",Mohalla Tech Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",Lightspeed Venture Partners Select II Mauritius,Mauritius,719.99,9.79,Received in the Company,
"198
3",Mohalla Tech Private Limited,KARNATAKA,Bengaluru,Operation of other websites that act as,Lightspeed Opportunity Fund L.P.,Cayman Islands,"1,495.92",20.34,Received in the,
,,,,"portals to the Internet, such as media sites providing periodically updated content",,,,,Company,
"198
4",Mohalla Tech Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",Gifted Jade Limited,British Virginia,294.18,4.00,Received in the Company,
"198
5",Mohalla Tech Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",Snap International II Limited,United Kingdom,"1,495.92",20.34,Received in the Company,
"198
6",Mohalla Tech Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",Snap International II Limited,United Kingdom,1.55,0.02,Received in the Company,
"198
7",Mohalla Tech Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",Manik Gupta acting as a trustee for Nidhi Manik Trust,U.S.A,3.03,0.04,Received in the Company,
"198
8",Mohalla Tech Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",Mupvent Capital Partners LLC,U.S.A,7.62,0.10,Received in the Company,
"198
9",MOLBIO DIAGNOSTICS PRIVATE LIMITED,GOA,North Goa,Manufacture of other articles n.e.c.,Abdul Qadir Mohammed Theruvath,UAE,0.11,0.00,"Received in
the Company",
"199
0",MOLBIO DIAGNOSTICS PRIVATE LIMITED,GOA,North Goa,Manufacture of other articles n.e.c.,Sujay Limited,Mauritius,0.26,0.00,Received in the Company,
"199
1",MOLBIO DIAGNOSTICS PRIVATE LIMITED,GOA,North Goa,Manufacture of other articles n.e.c.,Shaheeda Abdul Kader,UAE,0.21,0.00,Received in the Company,
"199
2",MOLBIO DIAGNOSTICS PRIVATE LIMITED,GOA,North Goa,Manufacture of other articles n.e.c.,Chewbacca Services Limited,Mauritius,0.26,0.00,Received in the Company,
"199
3",MOLSON COORS INDIA PRIVATE LIMITED,DELHI,South Delhi,Manufacture of beer,INBREW HOLDINGS PTE LTD,Singapore,1.01,0.01,Received in the Company,
"199
4",Monoceros Energy Solutions Private Limited,MAHARASHT RA,Mumbai,Manufacture of other electrical equipment,Alternaty B.V.,Netherland,4.23,0.06,"Received in
the Company",
"199
5",Monofloor India Private Limited,MAHARASHT RA,Mumbai,Architectural and engineering activities and related technical consultancy,MONOFLOOR TECHNOLOGY LIMITED,United Kingdom,1.77,0.02,Received in the Company,
"199
6",MOONSHINE TECHNOLOGY PRIVATE LIMITED,DELHI,South Delhi,"Computer consultancy and computer facilities management
activities",INFLUENCERS INTERATIVE INC,Canada,363.05,4.94,Received in the Company,
"199
7",MOONSHOT JUNIOR INDIA PRIVATE LIMITED,MADHYA PRADESH,Indore,EDUCATION,MOONSHOT JUNIOR INC,U.S.A,0.10,0.00,Received in the Company,
"199
8",MOONSHOT JUNIOR INDIA PRIVATE LIMITED,MADHYA PRADESH,Indore,EDUCATION,MOONSHOT JUNIOR INC,U.S.A,0.88,0.01,"Received in
the Company",
"199
9",Moorgate Industries India Private Limited,MAHARASHT RA,Mumbai,Wholesale of metals and metal ores,MOORGATE INDUSTRIES UK LIMITED,United Kingdom,7.33,0.10,Received in the Company,
"200
0",Moorgate Industries India Private Limited,MAHARASHT RA,Mumbai,Wholesale of metals and metal ores,MOORGATE INDUSTRIES UK LIMITED,United Kingdom,4.41,0.06,Received in the Company,
"200
1",Moorgate Industries India Private Limited,MAHARASHT RA,Mumbai,Wholesale of metals and metal ores,Moorgate Industries UK Limited,United Kingdom,4.34,0.06,Received in the Company,
"200
2",Moorgate Industries India Private Limited,MAHARASHT RA,Mumbai,Wholesale of metals and metal ores,Moorgate Industries UK Limited,United Kingdom,7.40,0.10,Received in the Company,
"200
3",Moorgate Industries India Private Limited,MAHARASHT RA,Mumbai,Wholesale of metals and metal ores,MOORGATE INDUSTRIES UK LIMITED,United Kingdom,3.66,0.05,Received in the Company,
200,Mooving Smart Mobility and Energy,DELHI,West Delhi,Repair of,Lakshya E-Commerce Pte. Ltd.,Singapore,41.98,0.57,Received in,
4,Private Limited,,,communication equipment,,,,,the Company,
"200
5",MORCHEM PRIVATE LIMITED,MAHARASHT RA,Mumbai,"MANUFACTURE OF GELATINE AND ITS DERIVATIVES, RESINOIDS, GLUES, PREPARED ADHESIVES, INCLUDING RUBBER-BASED
GLUES AND ADHESIVES","Jotusa 2000, S.L.",Spain,10.00,0.14,Received in the Company,
"200
6",MORCHEM PRIVATE LIMITED,MAHARASHT RA,Mumbai,"MANUFACTURE OF GELATINE AND ITS DERIVATIVES, RESINOIDS, GLUES, PREPARED ADHESIVES, INCLUDING RUBBER-BASED GLUES AND
ADHESIVES",JOTUSA 2000 S.L.,Spain,10.23,0.14,Received in the Company,
"200
7",Mosca India Packaging Private Limited,KARNATAKA,Bengaluru,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine tools and computer- controlled sewing and knitting machines",Mosca Asia Pte. Ltd.,Singapore,0.10,0.00,Received in the Company,
"200
8",Mosca India Packaging Private Limited,KARNATAKA,Bengaluru,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine tools and computer- controlled sewing
and knitting machines",Mosca Asia Malaysia SDN BHD,Malaysia,0.00,0.00,Received in the Company,
"200
9",MOTHERSON AUTO SOLUTIONS LIMITED,DELHI,South Delhi,"Other specialized
construction activities",Sojitz Corporation,Japan,85.00,1.16,"Received in
the Company",
"201
0",MOTO BUSINESS SERVICE INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of motor vehicles n.e.c.,Yamaha Motor Co. Ltd.,Japan,223.00,3.04,Received in the,
,,,,,,,,,Company,
"201
1",MOTO BUSINESS SERVICE INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of motor vehicles n.e.c.,"Yamaha Motor Biz Partner Co., Ltd.",Japan,0.00,0.00,"Received in the
Company",
"201
2",MOUNTING SOLAR-KIT PRIVATE LIMITED,MAHARASHT RA,Raigarh(MH),Electric power generation using solar energy,TOMAS KOROSTENSKY,Czech Republic,5.63,0.08,Received in the Company,
"201
3",MOZAIQ AUTOMATION PRIVATE LIMITED,DELHI,Central Delhi,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",Mozaiq LLC,U.S.A,1.45,0.02,Received in the Company,
"201
4",MPHASIS LIMITED,KARNATAKA,Bengaluru,"Providing software support and
maintenance to the clients",Kimberly Lanham,U.S.A,1.18,0.02,Received in the Company,
"201
5",MPHASIS LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Kimberly Lanham,U.S.A,0.55,0.01,Received in the Company,
"201
6",MPHASIS LIMITED,KARNATAKA,Bengaluru,"Providing software support and
maintenance to the clients",ALBERTUS MARTINUS HOOYMAN,Netherland,1.00,0.01,Received in the Company,
"201
7",MPHASIS LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,James Eric Rawlings,U.S.A,0.03,0.00,Received in the Company,
"201
8",MPHASIS LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Leo Loomie,U.S.A,0.50,0.01,Received in the Company,
"201
9",MPHASIS LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,James Eric Rawlings,U.S.A,3.18,0.04,Received in the Company,
"202
0",MQDC INDIA REAL ESTATE PRIVATE LIMITED,DELHI,South Delhi,Real estate activities with own or leased property,Magnolia Quality Development Corporation Limited,Thailand,37.00,0.50,GREENFIE LD,
"202
1",MSD WELLCOME TRUST HILLEMAN LABORATORIES PRIVATE LIMITED,DELHI,South Delhi,"Research and experimental development on
social sciences and humanities",MSD LABORATORIES INDIA LLC,U.S.A,60.00,0.82,Received in the Company,
"202
2",MTB Industries Private Limited,MAHARASHT RA,Mumbai,"Manufacture of doors, windows and
their frames,",MTB India LLC,U.S.A,0.70,0.01,"Received in the
Company",
,,,,"shutters and rolling shutters, gates and
similar articles used on buildings",,,,,,
"202
3",MTB Industries Private Limited,MAHARASHT RA,Mumbai,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similar articles used
on buildings",Reema Chopra,U.S.A,0.30,0.00,Received in the Company,
"202
4",MULTIBHASHI SOLUTIONS PRIVATE LIMITED,RAJASTHAN,Jaipur,"Other information service activities
n.e.c.",RareJob Inc,Japan,3.51,0.05,"Received in the
Company",
"202
5",MULURA LOGISTICS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,EZYHAUL PTE LTD,Singapore,300.01,4.09,Received in the Company,
"202
6",MULURA LOGISTICS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",EZYHAUL PTE LTD,Singapore,215.19,2.89,Received in the Company,
"202
7",murf software solutions private limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,MURF INC.,U.S.A,15.24,0.21,Received in the Company,
"202
8",Murugappa Organo Water Solutions Private Limited,TAMIL NADU,Chennai,"Water collection, treatment and supply","Organo Corporation,",Japan,24.59,0.33,Received in the Company,
"202
9",MUSICMUNI LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",FRANCESC XAVIER SERRA CASALS,Spain,0.00,0.00,Received in the Company,
"203
0",MXC SOLUTIONS INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,Business brokerage activities,Malabar India Fund Limited,Mauritius,799.21,10.73,Received in the Company,
"203
1",MXC SOLUTIONS INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,Business brokerage activities,Malabar Select Fund,Mauritius,145.31,1.95,"Received in
the Company",
"203
2",MYCELIUM TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Mycelium Software Inc.,U.S.A,7.19,0.10,Received in the Company,
"203
3",MYELIN FOUNDRY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Research and experimental development on natural sciences and
engineering",BEYOND NEXT VENTURES 2 INVESTMENT LIMITED PARTNERSHIP,Japan,36.50,0.50,Received in the Company,
"203
4",MYELIN FOUNDRY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Research and experimental development on
natural sciences and engineering",BEYOND NEXT VENTURES 2 INVESTMENT LIMITED PARTNERSHIP,Japan,0.02,0.00,Received in the Company,
"203
5",MYMONEYKARMA INFOMATICS INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,MY MONEY KARMA INC.,U.S.A,15.96,0.21,Received in the Company,
"203
6",MYMONEYKARMA INFOMATICS INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,MY MONEY KARMA INC.,U.S.A,7.11,0.10,Received in the Company,
"203
7",MYMONEYKARMA INFOMATICS INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,MY MONEY KARMA INC.,U.S.A,3.59,0.05,Received in the Company,
"203
8",MYMONEYKARMA INFOMATICS INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,"Other information technology and computer service
activities n.e.c",MY MONEY KARMA INC.,U.S.A,14.33,0.20,Received in the Company,
"203
9",MYMONEYKARMA INFOMATICS INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,MY MONEY KARMA INC.,U.S.A,15.16,0.21,Received in the Company,
"204
0",MYPURMIST INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Retail sale of pharmaceuticals, medical and
orthopedic goods and toilet articles",VAPORE LLC,U.S.A,0.98,0.01,Received in the Company,
"204
1",MYSTUDIA PRIVATE LIMITED,GUJARAT,Ahmedabad,"Other business support service
activities n.e.c",VIDHVAAN.COM INC.,Canada,0.10,0.00,"Received in the
Company",
"204
2",N Squared Technologies India Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,N Squared Technologies LLC,U.S.A,1.00,0.01,Received in the Company,
"204
3",N Squared Technologies India Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",N Squared Technologies LLC,U.S.A,0.00,0.00,Received in the Company,
"204
4",NAIDIP IMPEX PRIVATE LIMITED,GUJARAT,Vadodara,Other civil engineering projects n.e.c.,Naidip LLC,U.S.A,370.10,5.03,Received in the Company,
"204
5",NAILBITER RESEARCH PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Providing software support and
maintenance to the clients",NAILBITER INC,U.S.A,4.50,0.06,Received in the Company,
"204
6",NAMASTRADE INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,Wholesale of cereals and pulses,SOFIA FLAVIA CONTRIBUNALE,Argentina,0.10,0.00,Received in the Company,
"204
7",NAPINO CONTINENTAL VEHICLE ELECTRONICS PRIVATE LIMITED,Haryana,Gurgaon,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs,ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels,
voltage regulators etc",Continental Automotive Holding Netherlands BV,Netherland,50.00,0.68,Received in the Company,
"204
8",NARA SKOODLE (INDIA) PRIVATE LIMITED,GUJARAT,Vadodara,Manufacture of other games and toys n.e.c.,NARA GLOBAL COMPANY LIMITED,Thailand,0.10,0.00,GREENFIE LD,
"204
9",NARA SKOODLE (INDIA) PRIVATE LIMITED,GUJARAT,Vadodara,Manufacture of other games and toys n.e.c.,NARA GLOBAL COMPANY LIMITED,Thailand,15.00,0.20,GREENFIE LD,
"205
0",NARNE HOTELS AND RESORTS PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes
accommodation in house boats",Sai Babu Appalaneni,U.S.A,12.68,0.17,Received in the Company,
"205
1",NARNE HOTELS AND RESORTS PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",Rajendra P Appalaneni,U.S.A,14.92,0.20,Received in the Company,
"205
2",Natcap Power Private Limited,DELHI,North West Delhi,Treatment and disposal of non- hazardous waste,NATURAL CAPITAL POWER AND UTILITY CORPORATION,Canada,0.18,0.00,Received in the Company,
"205
3",Natems Solar Power Private Limited,ANDHRA PRADESH,Ananthapur,Electric power generation using solar energy,Vibrant Energy Holdings Pte Ltd,Singapore,30.00,0.41,BROWNFIE LD,
"205
4",Naturayuva India Private Limited,MAHARASHT RA,Thane,"Manufacture of other pharmaceutical and botanical products
n.e.c. like hina powder etc.",Naturayuva AG,Switzerland,17.53,0.24,Received in the Company,
"205
5",NAVADHAN CAPITAL PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Other financial service activities, except insurance
and pension funding activities, n.e.c.",Sarah Djari,France,3.50,0.05,Received in the Company,
"205
6",NAVASHYA CONSUMER PRODUCTS PRIVATE LIMITED,MAHARASHT RA,Thane,Manufacture of other articles n.e.c.,Saama Capital IV Ltd,Mauritius,0.82,0.01,"Received in the
Company",
"205
7",NAVASHYA CONSUMER PRODUCTS PRIVATE LIMITED,MAHARASHT RA,Thane,Manufacture of other articles n.e.c.,Saama Capital IV Ltd,Mauritius,102.12,1.37,Received in the Company,
"205
8",NAVIKENZ INDIA PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Management consultancy
activities",Navikenz INC,U.S.A,0.10,0.00,"Received in the
Company",
"205
9",NAY ENERGY PRIVATE LIMITED,DELHI,South Delhi,"Electric power
generation using solar energy",AMPLUS ENERGY SOLUTIONS PTE LTD,Singapore,6.00,0.08,"Received in
the Company",
"206
0",Nayam Innovations Private Limited,UTTAR PRADESH,Mathura,"Research and experimental development on natural sciences and
engineering",Balamurali Krishna Ambati,U.S.A,1.38,0.02,Received in the Company,
"206
1",NEELA SAHAR JODHPUR HOTELS PRIVATE LIMITED,Rajasthan,jodhpur,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",LESLEY SUSAN QUIN,United Kingdom,4.55,0.06,GREENFIE LD,
"206
2",NEESTREAM CREATIONS PRIVATE LIMITED,KERALA,Ernakulam,Production of motion picture,Nest Technologies Corp,U.S.A,7.17,0.10,Received in the Company,
"206
3",NEEV ENERGY DEVELPOMENT PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Manufacture of
electric lighting equipment",NEEV ENERGY PTE LTD,Singapore,47.00,0.63,"Received in
the Company",
"206
4",NEEV ENERGY DEVELPOMENT PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Manufacture of electric lighting
equipment",NEEV ENERGY PTE LTD,Singapore,45.00,0.60,"Received in the
Company",
"206
5",NEKTAR.AI INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",NEKTAR.AI PTE LTD,Singapore,0.10,0.00,Received in the Company,
"206
6",NEM CON PRIME INTERNATIONAL PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor
coverings and",LEONARDO FASHIONS RETAIL INC,U.S.A,0.49,0.01,Received in the Company,
,,,,"tapestry, sports clothes",,,,,,
"206
7",NEODOCS TECHNOLOGIES PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",Sprout Investments III,Mauritius,0.75,0.01,Received in the Company,
"206
8",NEOLACTA LIFESCIENCES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of baby milk foods,Rakesh Kumar Aggarwal,Australia,3.76,0.05,Received in the Company,
"206
9",NEOLACTA LIFESCIENCES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of baby milk foods,Saurabh Aggarwal,Australia,1.00,0.01,"Received in the
Company",
"207
0",NEPA INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Market research and
public opinion polling",Nepa Sweden AB,Sweden,25.34,0.35,"Received in
the Company",
"207
1",Nepcon India Private Limited,DELHI,East Delhi,"Other professional, scientific and technical activities n.e.c.",Nature Economy And People Connected F.M.B.A,Denmark,0.61,0.01,Received in the Company,
"207
2",Nepcon India Private Limited,DELHI,East Delhi,"Other professional, scientific and
technical activities n.e.c.",Nature Economy And People Connected F.M.B.A,Denmark,0.97,0.01,Received in the Company,
"207
3",Nepcon India Private Limited,DELHI,East Delhi,"Other professional, scientific and technical activities n.e.c.",Nepcon OU,Estonia,0.00,0.00,Received in the Company,
"207
4",Nepcon India Private Limited,DELHI,East Delhi,"Other professional, scientific and technical activities n.e.c.",Nepcon OU,Estonia,0.00,0.00,Received in the Company,
"207
5",NETAFIM AGRICULTURAL FINANCING AGENCY PRIVATE LIMITED,MAHARASHT RA,THANE,"Other financial service activities, except insurance
and pension funding activities, n.e.c.",NETAFIM SINGAPORE HOLDINGS PTE LTD,Singapore,685.41,9.35,Received in the Company,
"207
6",Netplay Sports Private Limited,Telangana,Hyderabad,Operation of sports facilities,Tanuj Dudeja,Germany,1.60,0.02,Brownfield,
"207
7",Netra Wind Private Limited,MAHARASHT RA,Mumbai,Manufacture of other articles n.e.c.,ALFANAR POWER LIMITED,United Kingdom,206.58,2.77,Received in the Company,
"207
8",Netra Wind Private Limited,MAHARASHT RA,Mumbai,Manufacture of other articles n.e.c.,Alfanar Power Limited,United Kingdom,"1,293.42",17.37,Received in the Company,
"207
9",NEUOKOSH CAPITAL ADVISORS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other financial service activities,",Atlantis Tech Pte. Limited,Singapore,1.51,0.02,Received in the,
,,,,"except insurance and pension funding activities, n.e.c.",,,,,Company,
"208
0",NEUROPIXEL.AI LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,ENTREPRENEUR FIRST (GLOBAL) L.P,United Kingdom,4.16,0.06,Received in the Company,
