Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
263,FLEXA INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other retail sale in non-specialized stores,FLEXA4DREAMS A/S,Denmark,0.01,0.00,Received in the Company,
264,FLEXA INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other retail sale in non-specialized stores,FLEXA4DREAMS HOLDING A/S,Denmark,0.01,0.00,Received in the Company,
265,FLEXMONEY TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",FLEX TECHNOLOGIES PTE LTD,Singapore,0.12,0.00,Received in the Company,
266,Flicker Projects Private Limited,KARNATAKA,Bengaluru,"Activities relating to alteration, addition, repair, maintenance carried out on own-
account basis or on a fee or contract basis",BREP Asia II Indian Holding Co. IX (NQ) Pte. Ltd,Singapore,"1,456.04",19.87,Received in the Company,
267,FNO INDIA SECURITIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Security and commodity contracts brokerage,FNO PTE LTD,Singapore,4.77,0.06,Received in the Company,
268,FNO INDIA SECURITIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Security and commodity contracts brokerage,FNO PTE LTD,Singapore,0.54,0.01,"Received
in the Company",
269,FREIGEBEN INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Bluesnap Payment Services Ltd,United Kingdom,0.00,0.00,Received in the Company,
270,FREIGEBEN INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Bluesnap Payment Services Ltd,United Kingdom,0.00,0.00,"Received in the
Company",
271,FREIGEBEN INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,BlueSnap Inc.,U.S.A,0.10,0.00,"Received
in the Company",
272,Frello Technology Private Limited,TAMIL NADU,Kanchipuram,Providing software support and maintenance to the clients,NimbleBox INC,U.S.A,0.01,0.00,Received in the Company,
273,frontAvenue InfoSolutions Private Limited,KARNATAKA,Bangalore Rural,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",frontavenue A/S,Denmark,15.16,0.20,Received in the Company,
274,FSN E-Commerce Ventures Private Limited,MAHARASHTRA,Mumbai,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving
or str",Steadview Capital Opportunities PCC Cell 0221-007,Mauritius,4.04,0.06,Received in the Company,
275,FSN E-Commerce Ventures Private Limited,MAHARASHTRA,Mumbai,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving
or str",Steadview Capital Opportunities PCC Cell 0221-007,Mauritius,2.37,0.03,Received in the Company,
276,FSN E-Commerce Ventures Private Limited,MAHARASHTRA,Mumbai,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving
or str",Steadview Capital Opportunities PCC Cell 0221-007,Mauritius,17.87,0.24,Received in the Company,
277,FSN E-Commerce Ventures Private Limited,MAHARASHTRA,Mumbai,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches
and preparations for permanent waving or str",Steadview Capital Opportunities PCC Cell 0221-007,Mauritius,24.98,0.34,Received in the Company,
278,FSN E-Commerce Ventures Private Limited,MAHARASHTRA,Mumbai,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches
and preparations for permanent waving or str",Steadview Capital Opportunities PCC Cell 0221-007,Mauritius,3.55,0.05,Received in the Company,
279,FSN E-Commerce Ventures Private Limited,MAHARASHTRA,Mumbai,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving
or str",Steadview Capital Opportunities PCC Cell 0221-007,Mauritius,4.74,0.06,Received in the Company,
280,FSN E-Commerce Ventures Private Limited,MAHARASHTRA,Mumbai,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of
shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches",Steadview Capital Opportunities PCC Cell 0221-007,Mauritius,24.98,0.34,Received in the Company,
,,,,and preparations for permanent waving or str,,,,,,
281,"FUNDSCORNER
FINTECH SOLUTIONS PRIVATE LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Debashish Neogi,UAE,0.25,0.00,"Received
in the Company",
282,FYIKIGAI TECHNOLOGIES PRIVATE LIMITED,MADHYA PRADESH,Indore,Other information technology and computer service activities n.e.c,Sivi Eductech Pte Ltd.,Singapore,0.11,0.00,Received in the Company,
283,G Force Exports Private Limited,TAMIL NADU,Tiruvallur,Manufacture of allopathic pharmaceutical preparations,GARI ENTERPRISES INVESTMENTS LIMITED,U.S.A,0.05,0.00,"Received
in the Company",
284,GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,DELHI,South Delhi,Other amusement and recreation activities n.e.c.,M-LEAGUE PTE LTD,Singapore,10.02,0.14,Received in the Company,
285,GEOSERVEX HUB INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Architectural and engineering activities and related technical consultancy,ZBIGNIEW KRYSTOWCZYK,Poland,0.28,0.00,"Received in the
Company",
286,GGWP INDIA PRIVATE LIMITED,KARNATAKA,NAYANDAHALLI,Publishing of operating systems and system software,GGWP INC,U.S.A,0.01,0.00,"Received
in the Company",
287,GHV ADVANCED CARE PRIVATE LIMITED,HARYANA,Gurgaon,Hospital activities,Internet Fund VII Pte. Ltd.,Singapore,41.28,0.56,Received in the Company,
288,GHV ADVANCED CARE PRIVATE LIMITED,HARYANA,Gurgaon,Hospital activities,Internet Fund VII Pte. Ltd.,Singapore,23.19,0.32,"Received in the
Company",
289,GHV ADVANCED CARE PRIVATE LIMITED,HARYANA,Gurgaon,Hospital activities,Internet Fund VII Pte. Ltd.,Singapore,41.28,0.56,Received in the Company,
290,GMM Coating Private Limited,GUJARAT,Ahmedabad,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Showa denko K. K.,Japan,1.33,0.02,"Received in the
Company",
291,GOOD HOST SPACES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Accommodation provided by student residences, school dormitories",Baskin Lake Investment Ltd,Mauritius,"2,161.81",29.51,"Received
in the Company",
292,GOZING TECHNOLOGY PRIVATE LIMITED,HARYANA,Gurgaon,Long-distance bus services,Zingbus INC.,U.S.A,0.03,0.00,Received in the Company,
293,GOZING TECHNOLOGY PRIVATE LIMITED,HARYANA,Gurgaon,Long-distance bus services,ZINGBUS INC,U.S.A,0.03,0.00,Received in the Company,
294,GOZING TECHNOLOGY PRIVATE LIMITED,HARYANA,Gurgaon,Long-distance bus services,ZINGBUS INC,U.S.A,0.03,0.00,Received in the Company,
295,GRAND ORGANICS PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,0.46,0.01,Received in the Company,
296,GRAND ORGANICS PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,4.16,0.06,Received in the,
,,,,,,,,,Company,
297,GRAND ORGANICS PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,1.13,0.02,Received in the Company,
298,GRAND ORGANICS PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,11.30,0.15,Received in the Company,
299,GRAND ORGANICS PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,10.17,0.14,Received in the Company,
300,GREEN AGREVOLUTION PRIVATE LIMITED,BIHAR,Patna,"Other supporting activities including agricultural gardening (excluding parks and gardening activities), n.e.c.",SCI INVESTMENTS VI,Mauritius,118.56,1.61,Received in the Company,
301,GREEN AGREVOLUTION PRIVATE LIMITED,BIHAR,Patna,"Other supporting activities including agricultural gardening (excluding parks and gardening activities), n.e.c.",NASPERS VENTURES B.V,Netherland,77.56,1.05,Received in the Company,
302,GREEN AGREVOLUTION PRIVATE LIMITED,BIHAR,Patna,"Other supporting activities including agricultural gardening (excluding parks
and gardening activities), n.e.c.",NASPERS VENTURES B.V,Netherland,19.93,0.27,"Received in the
Company",
303,GREEN AGREVOLUTION PRIVATE LIMITED,BIHAR,Patna,"Other supporting activities including agricultural gardening (excluding parks and gardening activities), n.e.c.",NASPERS VENTURES B.V,Netherland,12.68,0.17,Received in the Company,
304,GREEN CATALYSATOR IT INDIA PRIVATE LIMITED,TAMIL NADU,Coimbatore,Other information technology and computer service activities n.e.c,"GREEN CATALYSATOR IT AKTIEBOLAG, SWEDEN",Sweden,0.05,0.00,Received in the Company,
305,GRID LOGIC GAMES PRIVATE LIMITED,HARYANA,Gurgaon,Software installation,White Falcon Ventures Pte. Limited,Singapore,36.71,0.50,"Received
in the Company",
306,GRUNDFOS PUMPS INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Manufacture of other pumps, compressors, taps and valves etc.",GRUNDFOS A/S,Denmark,0.00,0.00,Brownfield,
307,GVK CAMS PRIVATE LIMITED,ANDHRA PRADESH,Visakhapatnam,Technical testing and analysis,VENEKLASEN ASSOCIATES INC,U.S.A,0.05,0.00,Received in the Company,
308,"GYMPIK HEALTH
SOLUTIONS PRIVATE LIMITED",KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",ROUNDGLASS LLC,U.S.A,14.32,0.19,"Received
in the Company",
309,"HASABI HOSPITALITY
SERVICES PRIVATE LIMITED",KERALA,Ernakulam,"Hotels and Motels, inns, resorts
providing short term lodging facilities; includes accommodation in house boats",FABS Real Estate Company B.S.C. Closed,Bahrain,3.01,0.04,"Received
in the Company",
310,"HASABI HOSPITALITY SERVICES PRIVATE
LIMITED",KERALA,Ernakulam,"Hotels and Motels, inns, resorts providing short term lodging facilities;
includes accommodation in house boats","FABS REAL ESTATE COMPANY B.S.C.
CLOSED",Bahrain,3.01,0.04,"Received in the
Company",
311,HDFC ERGO GENERAL INSURANCE COMPANY LIMITED,MAHARASHTRA,Mumbai,Non-life insurance,ERGO International AG,Germany,"2,364.83",32.15,Received in the Company,
312,HEAD ACOUSTICS INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Other non-specialised wholesale trade n.e.c.,Head Acoustics Italia S.R.L.,Italy,0.01,0.00,Received in the Company,
313,HEALTHCARE GLOBAL,KARNATAKA,Bengaluru,Hospital activities,ACESO Company Pte. Ltd.,Singapore,866.35,11.82,Received,
,ENTERPRISES LIMITED,,,,,,,,in the Company,
314,"HEALTHPLIX
TECHNOLOGIES PRIVATE LIMITED",KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Lightspeed India Partners II LLC,Mauritius,13.13,0.18,"Received
in the Company",
315,HEALTHPLIX TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Lightspeed India Partners II LLC,Mauritius,15.98,0.22,Received in the Company,
316,HELA SOFTWARE SOLUTIONS PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,"Writing, modifying, testing of computer program to meet the needs of a
particular client excluding web-page designing",HELASOFT GMBH,Germany,0.49,0.01,Received in the Company,
317,HELA SOFTWARE SOLUTIONS PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",HELASOFT GMBH,Germany,0.43,0.01,Received in the Company,
318,Hella Infra Market Private Limited,MAHARASHTRA,Thane,"Wholesale of construction materials (sand, gravel etc.)",Accel India V (Mauritius) Ltd,Mauritius,26.51,0.36,Received in the Company,
319,HELLO GREEN PRIVATE LIMITED,MAHARASHTRA,Mumbai,Manufacture of other articles n.e.c.,NB Ventures Limited,United Kingdom,5.00,0.07,Received in the Company,
320,HEXAWARE TECHNOLOGIES LIMITED,MAHARASHTRA,Thane,"Writing, modifying, testing of computer program to meet the needs of a
particular client excluding web-page designing",HT Global Holdings B.V.,Netherland,97.08,1.32,Received in the Company,
321,HEXAWARE TECHNOLOGIES LIMITED,MAHARASHTRA,Thane,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",HT Global Holdings B.V.,Netherland,95.02,1.28,Received in the Company,
322,HEXAWARE TECHNOLOGIES LIMITED,MAHARASHTRA,Thane,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",HT Global Holdings B.V.,Netherland,205.26,2.76,Received in the Company,
323,HINDUSTAN AEGIS LPG LIMITED,GUJARAT,Valsad,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also
included is storage of goods in foreign trade zones","Itochu Petroleum Co., (Singapore) Pte. Ltd.",Singapore,693.00,9.46,Received in the Company,
324,"Homevista Decor and
Furnishings Private Limited",KARNATAKA,Bengaluru,Activities of interior decorators,Sequoia Capital India Investments IV,Mauritius,3.82,0.05,"Received
in the Company",
325,HONASA CONSUMER PRIVATE LIMITED,DELHI,West Delhi,Manufacture of other articles n.e.c.,SOFINA VENTURES S.A.,Belgium,140.45,1.92,Received in the Company,
326,HONASA CONSUMER PRIVATE LIMITED,DELHI,West Delhi,Manufacture of other articles n.e.c.,SOFINA VENTURES S.A.,Belgium,140.45,1.89,"Received in the
Company",
327,HONASA CONSUMER PRIVATE LIMITED,DELHI,West Delhi,Manufacture of other articles n.e.c.,SOFINA VENTURES S.A.,Belgium,69.68,0.94,"Received
in the Company",
328,HONASA CONSUMER PRIVATE LIMITED,DELHI,West Delhi,Manufacture of other articles n.e.c.,SOFINA VENTURES S.A.,Belgium,204.69,2.75,Received in the Company,
329,HONASA CONSUMER PRIVATE LIMITED,DELHI,West Delhi,Manufacture of other articles n.e.c.,SOFINA VENTURES S.A.,Belgium,2.18,0.03,"Received in the
Company",
330,HUBILO SOFTECH PRIVATE LIMITED,GUJARAT,Ahmedabad,Other information technology and computer service activities n.e.c,HUBILO TECHNOLOGIES INC,U.S.A,5.29,0.07,Received in the Company,
331,HUBILO SOFTECH PRIVATE LIMITED,GUJARAT,Ahmedabad,Other information technology and computer service activities n.e.c,HUBILO TECHNOLOGIES INC,U.S.A,0.25,0.00,"Received in the
Company",
332,HUBILO SOFTECH PRIVATE LIMITED,GUJARAT,Ahmedabad,Other information technology and computer service activities n.e.c,HUBILO TECHNOLOGIES INC,U.S.A,10.58,0.14,"Received
in the Company",
333,HUBILO SOFTECH PRIVATE LIMITED,GUJARAT,Ahmedabad,Other information technology and computer service activities n.e.c,HUBILO TECHNOLOGIES INC,U.S.A,41.00,0.56,Received in the Company,
334,HUHTAMAKI INDIA LIMITED,MAHARASHTRA,Mumbai,Manufacture of other articles n.e.c.,HUHTAVEFA B.V.,Netherland,62.60,0.85,Received in the Company,
335,HUHTAMAKI INDIA LIMITED,MAHARASHTRA,Mumbai,Manufacture of other articles n.e.c.,HUHTAVEFA B.V.,Netherland,62.60,0.85,Received in the Company,
336,HUHTAMAKI INDIA LIMITED,MAHARASHTRA,Mumbai,Manufacture of other articles n.e.c.,HUHTAVEFA B.V.,Netherland,62.60,0.85,Received in the Company,
337,HYDROQUIP HYDRAULICS PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of fluid power equipment,PMC HydraulicsGroup AB,Sweden,91.80,1.25,Received in the Company,
338,Hyperface Technologies Private Limited,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Hyperface Technologies Pte. Ltd,Singapore,0.08,0.00,Received in the Company,
339,Idea Spark Solutions Private Limited,TELANGANA,Hyderabad,"Other data processing, hosting and related activities n.e.c.",FORTUNA GAME a.s.,Czech Republic,38.47,0.52,"Received in the
Company",
340,Idea Spark Solutions Private Limited,TELANGANA,Hyderabad,"Other data processing, hosting and related activities n.e.c.",FORTUNA GAME a.s.,Czech Republic,11.06,0.15,"Received
in the Company",
341,IDS NEXT BUSINESS SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Madhukar Prasad,U.S.A,1.76,0.02,Received in the Company,
342,IFAST FINANCIAL INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Activities auxiliary to financial service activities n.e.c.,Ifast India Investments PTE Ltd,Singapore,0.10,0.00,"Received in the
Company",
343,IHORIZONS,MAHARASHTRA,Pune,Data processing activities including,IHORIZONS MEDIA INFO,Qatar,0.05,0.00,Received,
,"INFORMATION
SERVICES INDIA PRIVATE LIMITED",,,report writing,SERVICES WLL,,,,in the Company,
344,IMEDRIX HEALTHCARE SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other medical and dental instruments n.e.c.,Piitech Inc,U.S.A,0.05,0.00,Received in the Company,
345,Impact Guru Technology Ventures Private Limited,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,AP CSIP – 7 PTE. LTD.,Singapore,116.07,1.56,"Received in the
Company",
346,IMPAQTIVE TECHNOLOGIES INDIA PRIVATE LIMITED,KERALA,Ernakulam,Software installation,IMPAQTIVE US CORP.,U.S.A,0.10,0.00,Received in the Company,
347,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I-A SPV, LTD.",Cayman Islands,24.45,0.33,"Received in the
Company",
348,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",CA Dawn Investments,Mauritius,887.97,11.92,"Received
in the Company",
349,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I-A SPV, LTD.",Cayman Islands,289.05,3.88,Received in the Company,
350,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",CA Dawn Investments,Mauritius,214.33,2.88,Received in the Company,
351,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I-A SPV, LTD.",Cayman Islands,30.95,0.42,Received in the Company,
352,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",CA Dawn Investments,Mauritius,214.33,2.88,Received in the Company,
353,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I-A SPV, LTD.",Cayman Islands,137.06,1.84,Received in the Company,
354,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I-A SPV, LTD.",Cayman Islands,75.14,1.01,Received in the Company,
355,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",CA Dawn Investments,Mauritius,949.21,12.75,"Received in the
Company",
356,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",CA Dawn Investments,Mauritius,520.54,6.99,"Received
in the Company",
357,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I-A SPV, LTD.",Cayman Islands,30.95,0.42,Received in the Company,
358,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I SPV, LTD.",Cayman Islands,6.27,0.09,"Received in the
Company",
359,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and",BPC GENESIS FUND I-A,Cayman,121.75,1.66,Received,
,,,,technical activities n.e.c.,"SPV, LTD.",Islands,,,in the Company,
360,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I SPV, LTD.",Cayman Islands,59.68,0.81,"Received
in the Company",
361,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I SPV, LTD.",Cayman Islands,47.14,0.64,Received in the Company,
362,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I SPV, LTD.",Cayman Islands,234.72,3.20,"Received
in the Company",
363,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I SPV, LTD.",Cayman Islands,264.22,3.61,Received in the Company,
364,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I SPV, LTD.",Cayman Islands,144.90,1.98,"Received in the
Company",
365,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I SPV, LTD.",Cayman Islands,557.20,7.61,"Received
in the Company",
366,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I SPV, LTD.",Cayman Islands,59.68,0.81,Received in the Company,
367,Indegene Private Limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.","BPC GENESIS FUND I-A SPV, LTD.",Cayman Islands,3.25,0.04,"Received in the
Company",
368,INDUSTRIAL GUAR PRODUCTS PRIVATE LIMITED,RAJASTHAN,Alwar,Other grain milling and processing n.e.c.,PFP TECHNOLOGY L.L.C.,U.S.A,3.22,0.04,Received in the Company,
369,INERG SOFTWARE INNOVATIONS PRIVATE LIMITED,KERALA,Ernakulam,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",INERG INC,U.S.A,0.00,0.00,Received in the Company,
370,INNOTION TECHNOLOGIES PRIVATE LIMITED,DELHI,West Delhi,Other information technology and computer service activities n.e.c,Anil Kumar,Australia,2.00,0.03,Received in the Company,
371,"INNOVENT PROCESS SOLUTIONS PRIVATE
LIMITED",MAHARASHTRA,Pune,Architectural and engineering activities and related technical consultancy,Vibhu Manmohan Sharma,U.S.A,0.04,0.00,"Received in the
Company",
372,"Insight Medical
Diagnostics Hyderabad Private Limited",TELANGANA,Hyderabad,Activities of independent diagnostic/pathological laboratories,Sudarshan Consultancy Limited,United Kingdom,12.00,0.16,"Received
in the Company",
373,Insit Mask transmissions Private Limited,MAHARASHTRA,Pune,Manufacture of other rubber products n.e.c.,"INSIT INDUSTRIA –
SOCIETA’ PER AZIONI",Italy,0.05,0.00,Received in the Company,
374,INTAIN AI PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Other information technology and computer service activities n.e.c,EMULYA FINTECH PTE LTD,Singapore,1.58,0.02,"Received in the
Company",
375,INTEGRITY RCM,TAMIL NADU,Tiruvallur,Data processing activities including,GARI ENTERPRISES,U.S.A,0.05,0.00,Received,
,SERVICES PRIVATE LIMITED,,,report writing,INVESTMENTS LIMITED,,,,in the Company,
376,InterGlobe Technologies Private Limited,MAHARASHTRA,Mumbai,Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format,AION DIRECT II SINGAPORE PTE LTD,Singapore,459.44,6.17,Received in the Company,
377,INTERPLAI INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Interplai INC,U.S.A,0.10,0.00,Received in the Company,
378,IPSCOM RETURNABLE PRIVATE LIMITED,TAMIL NADU,Tiruvallur,Packaging activities,INTERNATIONAL PRESS SOFTCOM LIMITED,Singapore,0.01,0.00,Received in the Company,
379,IRIS TRANSPORTATION SERVICES PRIVATE LIMITED,DELHI,Central Delhi,Courier activities,Iris Holding II Inc.,U.S.A,0.05,0.00,Received in the Company,
380,IRIS TRANSPORTATION SERVICES PRIVATE LIMITED,DELHI,Central Delhi,Courier activities,Iris Holding I Inc.,U.S.A,0.05,0.00,Received in the Company,
381,IRIS TRANSPORTATION SERVICES PRIVATE LIMITED,DELHI,Central Delhi,Courier activities,Iris Holding II Inc.,U.S.A,0.00,0.00,Received in the Company,
382,IVFORM TECHNOLOGIES PRIVATE LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a
particular client excluding web-page designing",Vedioform Technologies Inc.,U.S.A,0.05,0.00,Received in the Company,
383,IVFORM TECHNOLOGIES PRIVATE LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Videoform Technologies Inc.,U.S.A,0.05,0.00,Received in the Company,
384,JASH ENGINEERING LIMITED,MADHYA PRADESH,Indore,Manufacture of other structural metal products,Utpal Patel,U.S.A,5.04,0.07,Received in the Company,
385,JEEVIKA YUGCHEM PRIVATE LIMITED,MAHARASHTRA,Nagpur,"MANUFACTURE OF VARIOUS OTHER CHEMICAL PRODUCTS N.E.C.(ANTIKNOCK PREPARATIONS, ANTI-FREEZE PREPARATIONS, LIQUIDS FOR HYDRAULIC TRANSMISSION, COMPOSITE DIAGNOSTIC OR LABORATORY REAGENTS, WRITING OR DRAWING INK, CHEMICAL SUBSTANCE USED IN
MANUFACTURING OF PE",LASENOR EMUL S.L.,Spain,22.22,0.30,Received in the Company,
386,JINDAL STAINLESS HISAR LIMITED,HARYANA,Hisar,Manufacture of hot-rolled and cold-rolled products of steel,JSL OVERSEAS LIMITED,Mauritius,121.57,1.66,"Received in the
Company",
387,JOYRIDE GAMES PRIVATE LIMITED,KARNATAKA,Bengaluru,Publishing of computer games for all platforms,Joyride Games Inc,U.S.A,0.01,0.00,"Received
in the Company",
388,Juniper Green Energy,DELHI,South West Delhi,Electric power generation using solar,Juniper Renewable,Singapore,0.16,0.00,Received,
,Private Limited,,,energy,Holdings Pte. Ltd.,,,,in the Company,
389,"KALLAM RENEWABLE
POWER PRIVATE LIMITED",MAHARASHTRA,Pune,Construction and maintenance of power plants,"WIND POWER DEVELOPMENT INDIA
A/S",Denmark,10.00,0.14,"Received
in the Company",
390,KALLAM RENEWABLE POWER PRIVATE LIMITED,MAHARASHTRA,Pune,Construction and maintenance of power plants,WIND POWER DEVELOPMENT A/S,Denmark,0.00,0.00,Received in the Company,
391,"KALLATRA
TECHNOLOGIES PRIVATE LIMITED",KARNATAKA,Mysuru,"Manufacture of radar equipment, GPS
devices, search, detection, navigation, aeronautical and nautical equipment",Mindaugas Videika,UAE,3.44,0.05,"Received
in the Company",
392,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",Beenext Emerging Asia Pte Ltd,Singapore,0.48,0.01,Received in the Company,
393,"KETTO ONLINE VENTURES PRIVATE
LIMITED",MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",Beenext Emerging Asia Pte Ltd,Singapore,1.31,0.02,"Received in the
Company",
394,"KETTO ONLINE
VENTURES PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",Beenext Emerging Asia Pte. Ltd,Singapore,2.01,0.03,"Received
in the Company",
395,KHM DRIVE SYSTEMS PVT. LTD.,HARYANA,Gurgaon,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers,
clutches, ste",Koritu Co. Ltd.,Japan,332.96,4.54,Received in the Company,
396,KLOUDSCRIPT INDIA PRIVATE LIMITED,GUJARAT,Ahmedabad,Other information technology and computer service activities n.e.c,"KLOUDSCRIPT, INC.",U.S.A,23.57,0.32,Received in the Company,
397,KMG INFOTECH LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,"ADVENT SOFTWARE INTERNATIONAL. INC,",U.S.A,0.36,0.00,"Received
in the Company",
